V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,ProctorDining,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,ProctorDining,f,f,f,f,ProctorDining,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,ProctorDining,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,RCD,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,RCD,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,RCD,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,RCD,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,RCD,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,RCD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,ProctorDining,f,f,f,f,RCD,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,RCD,ProctorDining,RCD,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,ProctorDining,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,RCD,f,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,ProctorDining,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,f,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,ProctorDining,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,RCD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,RCD,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,ProctorDining,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,ProctorDining,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,RCD,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,ProctorDining,f,f,f,f,RCD,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,RCD,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,ProctorDining,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,RCD,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,RCD,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,ProctorDining,f,ProctorDining,f,f,f,f,RCD,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,ProctorDining,f,f,f,f,ProctorDining,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,ProctorDining,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,RCD,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,f,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,ProctorDining,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,ProctorDining,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,RCD,f,RCD,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,RCD,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,h
h,h,h,h,h,h,h,h,ProctorDining,f,f,f,ProctorDining,f,f,f,f,RCD,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,f,f,f,f,f,f,ProctorDining,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,f,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
h,h,h,h,h,h,h,h,h,RCD,f,RCD,RCD,f,f,f,f,RCD,RCD,f,f,f,f,h
h,h,h,h,h,h,h,h,h,f,RCD,ProctorDining,f,f,f,f,f,f,f,f,f,f,f,h
